City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Albany,US,84.61,overcast clouds,42.6001,-73.9662,
2,Jamestown,US,82.09,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Jiaozuo,CN,79.23,light rain,35.2397,113.2331,Days Hotel and Suites Jiaozuo
7,Atuona,PF,77.22,light rain,-9.8,-139.0333,Villa Enata
20,Palmer,US,84.27,overcast clouds,42.1584,-72.3287,Wedgewood Motel
28,Pangobilian,PH,81.61,light rain,8.8011,117.8594,Sir Brooke's Resort
29,Loandjili,CG,77.11,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
30,Belsand,IN,84.2,heavy intensity rain,26.45,85.4,Abhishek
32,Bengkulu,ID,76.87,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
37,Hobyo,SO,77.05,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
39,Georgetown,MY,82.89,moderate rain,5.4112,100.3354,Cititel Penang
40,Yauco,PR,89.98,few clouds,18.035,-66.8499,Hospedajes de Yauco
44,Tabou,CI,79.41,light rain,4.423,-7.3528,hotêl doufoulougou
45,Georgiyevka,KZ,77.04,clear sky,43.0369,74.7114,Gostinitsa Imperiya
51,Bubaque,GW,80.15,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
54,Izumo,JP,77.45,heavy intensity rain,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
56,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
58,East London,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
59,Butaritari,KI,82.65,few clouds,3.0707,172.7902,Isles Sunset Lodge
60,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
61,Podgornoye,RU,84.42,light rain,51.735,39.1496,"O 'Hara's Irish Pub, restaurant, hotel"
63,Shasta Lake,US,79.52,clear sky,40.6804,-122.3708,Shasta Dam Motel
64,Sao Filipe,CV,79.97,few clouds,14.8961,-24.4956,Hotel Xaguate
73,Tokyo,JP,83.82,broken clouds,35.6895,139.6917,Hilton Tokyo
79,Hami,CN,84.83,scattered clouds,42.8,93.45,Laoyutang Resort
81,Salalah,OM,77.43,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
82,Hithadhoo,MV,82.71,overcast clouds,-0.6,73.0833,Scoop Guest House
84,Tateyama,JP,84.22,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
86,Khaga,IN,81.72,overcast clouds,25.7833,81.1167,Hostel khaga sardai road
88,Samarai,PG,77.85,overcast clouds,-10.6167,150.6667,Nuli Sapi
90,Fomboni,KM,76.62,light rain,-12.28,43.7425,Auberge les abou
91,Guerrero Negro,MX,75.88,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
