City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,84.61,65,91,2.53,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,59.41,80,75,5.01,light rain
2,Jamestown,US,42.097,-79.2353,82.09,69,20,1.99,few clouds
3,Jiaozuo,CN,35.2397,113.2331,79.23,77,58,3.38,light rain
4,Kapaa,US,22.0752,-159.319,73.38,79,42,3.0,scattered clouds
5,Fortuna,US,40.5982,-124.1573,63.86,96,90,6.91,overcast clouds
6,Yellowknife,CA,62.456,-114.3525,50.52,57,75,8.05,broken clouds
7,Atuona,PF,-9.8,-139.0333,77.22,81,86,18.41,light rain
8,Bluff,NZ,-46.6,168.3333,35.8,64,64,15.77,broken clouds
9,Ushuaia,AR,-54.8,-68.3,38.55,81,94,4.99,overcast clouds
10,Busselton,AU,-33.65,115.3333,56.08,85,38,23.55,scattered clouds
11,Nanortalik,GL,60.1432,-45.2371,44.38,85,39,12.73,scattered clouds
12,Port Alfred,ZA,-33.5906,26.891,66.11,59,61,16.71,broken clouds
13,Richards Bay,ZA,-28.783,32.0377,67.71,71,1,12.12,clear sky
14,Mandalgovi,MN,45.7625,106.2708,54.61,72,0,15.77,clear sky
15,Rikitea,PF,-23.1203,-134.9692,74.44,74,38,11.54,scattered clouds
16,Hermanus,ZA,-34.4187,19.2345,60.8,72,100,25.08,overcast clouds
17,Grand Gaube,MU,-20.0064,57.6608,69.39,89,88,3.0,light rain
18,Norman Wells,CA,65.282,-126.8329,48.24,71,90,8.05,overcast clouds
19,Alofi,NU,-19.0595,-169.9187,71.49,88,99,9.22,overcast clouds
20,Palmer,US,42.1584,-72.3287,84.27,65,100,3.22,overcast clouds
21,Dubbo,AU,-32.25,148.6167,50.13,81,75,13.8,broken clouds
22,Port Lincoln,AU,-34.7333,135.8667,54.86,63,62,10.38,broken clouds
23,Mataura,NZ,-46.1927,168.8643,35.47,99,99,3.6,overcast clouds
24,Upernavik,GL,72.7868,-56.1549,40.89,87,89,4.5,overcast clouds
25,Aripuana,BR,-9.1667,-60.6333,98.82,20,6,3.44,clear sky
26,Bilma,NE,18.6853,12.9164,102.06,20,74,8.12,broken clouds
27,Pevek,RU,69.7008,170.3133,36.73,84,87,8.21,overcast clouds
28,Pangobilian,PH,8.8011,117.8594,81.61,82,100,4.05,light rain
29,Loandjili,CG,-4.7561,11.8578,77.11,78,75,8.05,broken clouds
30,Belsand,IN,26.45,85.4,84.2,83,93,1.3,heavy intensity rain
31,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,87,90,12.66,overcast clouds
32,Bengkulu,ID,-3.8004,102.2655,76.87,92,52,4.09,light rain
33,Baghdad,IQ,33.3406,44.4009,105.71,14,0,5.75,clear sky
34,Saskylakh,RU,71.9167,114.0833,60.35,57,96,10.16,overcast clouds
35,Chumphon,TH,10.3333,98.8333,73.78,94,40,3.44,scattered clouds
36,Mufumbwe,ZM,-13.6833,24.8,69.19,23,0,5.57,clear sky
37,Hobyo,SO,5.3505,48.5268,77.05,84,100,26.66,overcast clouds
38,Hofn,IS,64.2539,-15.2082,56.95,73,42,7.02,scattered clouds
